iter	MultiClass
0	0.8824867648
1	0.7584185584
2	0.674177312
3	0.6144414103
4	0.5724885002
5	0.5418427168
6	0.5183460431
7	0.500547516
8	0.4874761588
9	0.4773297379
10	0.4695291752
11	0.4633770968
12	0.4589507041
13	0.4553037288
14	0.4521906822
15	0.4498225152
16	0.448012497
17	0.4465089405
18	0.4456344027
19	0.4450998622
20	0.4445178722
21	0.4435795695
22	0.4427945292
23	0.4422986868
24	0.4417510958
25	0.4413709392
26	0.4410148789
27	0.440825308
28	0.440473931
29	0.4401505486
30	0.4397696399
31	0.439415941
32	0.4391872431
33	0.4389811748
34	0.4388558452
35	0.4386960013
36	0.4385344262
37	0.438287556
38	0.4381236296
39	0.4379704926
40	0.4378982476
41	0.4377747479
42	0.4376321877
43	0.4374683048
44	0.4371113043
45	0.437022187
46	0.4367818983
47	0.4365689005
48	0.4364186448
49	0.436200646
50	0.436043821
51	0.4358620064
52	0.4357012217
53	0.4354729164
54	0.4353675305
55	0.4352781599
56	0.4351752841
57	0.4350006917
58	0.4348566246
59	0.4347567137
60	0.4346853894
61	0.4345909449
62	0.4344832696
63	0.434356035
64	0.4341771187
65	0.4340076398
66	0.43384104
67	0.4337848236
68	0.4335574337
69	0.4335293777
70	0.4333775549
71	0.4332030782
72	0.4330387291
73	0.432872481
74	0.4327818387
75	0.4326773506
76	0.4325585934
77	0.4323148177
78	0.4320767625
79	0.4319697406
80	0.4317656373
81	0.431535031
82	0.4314281668
83	0.4313077522
84	0.4311951923
85	0.431018831
86	0.430996865
87	0.4308474884
88	0.4307162223
89	0.430624055
90	0.4303882337
91	0.4303126129
92	0.4302048261
93	0.4300310451
94	0.4298673569
95	0.4297476253
96	0.4297226731
97	0.4296693455
98	0.4295177641
99	0.4294709742
100	0.4294028071
101	0.429253983
102	0.4291512721
103	0.4289825055
104	0.4288481895
105	0.428715185
106	0.4286398789
107	0.4285522019
108	0.4284571603
109	0.4284088084
110	0.4283251521
111	0.4282231685
112	0.4280945291
113	0.4279929047
114	0.427812908
115	0.4277793666
116	0.4276766517
117	0.4274637415
118	0.4273396627
119	0.4272795676
120	0.4271085856
121	0.4270471687
122	0.4269437497
123	0.4268403875
124	0.4267621122
125	0.4266775206
126	0.4266072376
127	0.4265493709
128	0.4264379813
129	0.4264045364
130	0.4262797698
131	0.4261796721
132	0.4260598834
133	0.4260023723
134	0.4259218924
135	0.4258093274
