iter	Passed	Remaining
0	194	174686
1	223	100479
2	253	75839
3	276	61988
4	298	53346
5	312	46592
6	328	41874
7	344	38369
8	363	35954
9	383	34090
10	405	32778
11	429	31808
12	453	30960
13	477	30201
14	499	29492
15	520	28749
16	544	28272
17	564	27680
18	584	27098
19	603	26532
20	622	26058
21	643	25698
22	665	25369
23	690	25193
24	710	24874
25	733	24667
26	757	24478
27	784	24425
28	811	24364
29	837	24300
30	866	24292
31	894	24259
32	923	24272
33	951	24244
34	979	24197
35	1026	24643
36	1056	24650
37	1080	24517
38	1098	24250
39	1123	24153
40	1149	24080
41	1174	23989
42	1211	24137
43	1249	24308
44	1296	24626
45	1336	24809
46	1360	24686
47	1387	24631
48	1407	24441
49	1434	24389
50	1461	24329
51	1488	24277
52	1515	24214
53	1545	24216
54	1581	24304
55	1616	24361
56	1651	24418
57	1686	24484
58	1717	24479
59	1746	24457
60	1768	24323
61	1794	24251
62	1816	24138
63	1838	24017
64	1862	23930
65	1884	23810
66	1907	23713
67	1931	23628
68	1961	23626
69	1986	23556
70	2085	24347
71	2147	24696
72	2191	24824
73	2222	24805
74	2257	24836
75	2288	24811
76	2316	24760
77	2341	24676
78	2368	24617
79	2396	24560
80	2420	24469
81	2451	24460
82	2475	24368
83	2514	24429
84	2552	24472
85	2596	24572
86	2633	24606
87	2689	24812
88	2749	25053
89	2793	25142
90	2833	25191
91	2858	25105
92	2891	25087
93	2911	24968
94	2952	25015
95	2990	25048
96	3027	25063
97	3067	25101
98	3112	25182
99	3160	25283
100	3206	25367
101	3252	25443
102	3280	25385
103	3318	25401
104	3345	25330
105	3369	25242
106	3392	25143
107	3423	25104
108	3454	25071
109	3490	25066
110	3529	25091
111	3561	25059
112	3586	24978
113	3610	24896
114	3637	24831
115	3659	24732
116	3686	24669
117	3708	24578
118	3731	24487
119	3747	24358
120	3772	24285
121	3803	24257
122	3836	24238
123	3870	24221
124	3913	24262
125	3954	24291
126	3985	24260
127	4028	24295
128	4062	24281
129	4106	24320
130	4138	24294
131	4170	24262
132	4192	24180
133	4214	24094
134	4239	24022
135	4258	23920
136	4280	23839
137	4304	23768
138	4327	23693
139	4351	23620
140	4373	23541
141	4549	24283
142	4590	24301
143	4637	24347
144	4672	24330
145	4703	24291
146	4726	24209
147	4751	24142
148	4774	24063
149	4799	23995
150	4819	23908
151	4842	23829
152	4863	23747
153	4884	23661
154	4903	23567
155	4924	23484
156	4948	23420
157	4967	23328
158	4986	23240
159	5010	23172
160	5029	23084
161	5060	23052
